state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
RI,158,area_code_510,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,696.4000000000001,312,68.64,no
KY,71,area_code_415,no,no,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0,411.1,340,39.38,no
NM,69,area_code_415,no,no,0,111.3,110,18.92,226.8,107,19.28,187.6,66,8.44,10.2,12,2.75,1,525.7,283,46.64,no
MD,98,area_code_415,no,no,0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,615.5,359,60.57000000000001,no
OR,166,area_code_510,no,no,0,199.6,93,33.93,214.3,99,18.22,196.8,110,8.86,7.2,5,1.94,3,610.7,302,61.01,no
MS,29,area_code_510,no,no,0,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2,747.9,360,81.46,yes
HI,169,area_code_408,no,no,0,240.7,119,40.92,141.1,102,11.99,120.6,56,5.43,7.7,2,2.08,2,502.4,277,58.34,no
VT,111,area_code_408,no,no,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,595.1,342,50.01,no
ME,25,area_code_510,no,no,0,242.6,69,41.24,209.0,117,17.77,219.7,82,9.89,14.4,6,3.89,2,671.3,268,68.9,no
NJ,115,area_code_510,no,no,0,156.8,104,26.66,264.7,84,22.5,249.0,112,11.21,7.4,8,2.0,0,670.5,300,60.37,no
UT,201,area_code_510,no,no,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7.0,6,1.89,1,633.0,261,64.08,no
MA,104,area_code_415,no,no,0,285.3,75,48.5,130.8,111,11.12,181.8,99,8.18,10.5,2,2.84,2,597.9000000000001,285,67.8,no
OK,50,area_code_408,no,no,0,198.7,114,33.78,141.5,90,12.03,293.0,79,13.18,10.5,5,2.84,4,633.2,283,58.99,no
NV,81,area_code_415,no,yes,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4,551.6,355,53.44,yes
ME,174,area_code_415,no,no,0,190.3,98,32.35,252.7,70,21.48,220.6,97,9.93,7.2,9,1.94,2,663.6,265,63.76,no
NV,83,area_code_510,no,yes,31,129.8,87,22.07,183.4,110,15.59,169.4,40,7.62,14.3,6,3.86,1,482.6,237,45.279999999999994,no
NY,92,area_code_408,no,no,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,657.4,270,70.00999999999999,no
WV,112,area_code_415,no,no,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,546.8,300,63.46,no
SC,88,area_code_510,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,474.29999999999995,244,36.96,yes
NM,118,area_code_510,no,no,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7.0,6,1.89,0,566.1,367,58.510000000000005,no
KS,116,area_code_408,yes,no,0,232.2,98,39.47,244.7,91,20.8,151.3,69,6.81,10.6,1,2.86,7,628.2,258,67.08,yes
WV,137,area_code_510,no,yes,50,186.5,94,31.71,178.0,106,15.13,215.6,100,9.7,12.1,4,3.27,2,580.1,300,56.540000000000006,no
OR,100,area_code_510,no,no,0,152.7,98,25.96,212.4,73,18.05,264.5,90,11.9,7.9,3,2.13,2,629.6,261,55.910000000000004,no
HI,171,area_code_510,no,no,0,189.8,122,32.27,173.7,85,14.76,257.1,84,11.57,10.3,1,2.78,0,620.6,291,58.6,no
FL,131,area_code_408,no,no,0,43.3,118,7.36,178.5,113,15.17,185.9,120,8.37,10.6,4,2.86,0,407.70000000000005,351,30.9,no
UT,139,area_code_415,no,no,0,165.0,132,28.05,249.7,86,21.22,170.3,128,7.66,12.6,8,3.4,1,585.0,346,56.92999999999999,no
FL,148,area_code_510,yes,no,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,505.19999999999993,323,47.64000000000001,no
MT,73,area_code_415,no,yes,33,129.8,112,22.07,225.3,96,19.15,262.5,104,11.81,8.6,3,2.32,1,617.6,312,53.03,no
MI,62,area_code_408,no,no,0,119.3,94,20.28,224.0,81,19.04,156.7,78,7.05,12.1,6,3.27,5,500.0,253,46.37,yes
OR,163,area_code_408,no,yes,25,219.6,99,37.33,210.4,99,17.88,242.7,88,10.92,13.8,8,3.73,2,672.7,286,66.13,no
RI,80,area_code_510,no,no,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,640.0,297,64.51,no
CT,56,area_code_415,no,no,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,566.9,292,51.76,yes
WY,142,area_code_408,no,yes,34,219.5,85,37.32,144.0,120,12.24,258.2,84,11.62,7.0,3,1.89,1,621.7,289,61.18,no
MS,98,area_code_415,yes,yes,23,245.5,54,41.74,292.7,83,24.88,184.0,90,8.28,10.8,7,2.92,1,722.2,227,74.9,no
NE,112,area_code_415,yes,no,0,195.7,123,33.27,141.9,124,12.06,136.4,72,6.14,7.9,6,2.13,1,474.0,319,51.470000000000006,no
WA,118,area_code_408,no,no,0,297.2,113,50.52,188.8,114,16.05,188.9,100,8.5,12.4,6,3.35,1,674.9,327,75.07000000000001,yes
MD,58,area_code_408,no,no,0,187.6,113,31.89,217.4,115,18.48,139.7,92,6.29,9.8,5,2.65,3,544.7,320,56.660000000000004,no
KS,119,area_code_415,no,no,0,231.5,82,39.36,266.9,97,22.69,211.0,118,9.49,7.4,10,2.0,1,709.4,297,71.53999999999999,no
KY,60,area_code_408,no,no,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1,545.3,322,49.699999999999996,no
NE,39,area_code_510,no,no,0,185.0,113,31.45,106.5,125,9.05,167.3,78,7.53,12.0,2,3.24,0,458.8,316,48.03,no
MT,60,area_code_415,no,no,0,145.0,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,682.6,337,57.2,no
KS,94,area_code_510,no,yes,28,233.2,88,39.64,113.3,102,9.63,118.0,71,5.31,16.1,4,4.35,0,464.5,261,54.580000000000005,no
TN,123,area_code_415,no,yes,34,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1,741.7,270,77.78,no
CO,89,area_code_415,no,no,0,94.5,107,16.07,191.8,85,16.3,196.2,131,8.83,15.0,5,4.05,1,482.5,323,41.2,no
CO,92,area_code_415,no,no,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2,686.2,253,64.45,yes
NE,64,area_code_510,no,no,0,219.2,73,37.26,167.0,65,14.2,161.4,119,7.26,10.0,5,2.7,1,547.6,257,58.71999999999999,no
MS,77,area_code_408,no,no,0,230.0,87,39.1,103.2,138,8.77,309.6,136,13.93,11.3,3,3.05,2,642.8,361,61.800000000000004,no
IN,110,area_code_415,no,no,0,151.8,106,25.81,138.0,126,11.73,233.5,112,10.51,11.2,8,3.02,3,523.3,344,48.05,no
AZ,155,area_code_415,yes,no,0,176.1,88,29.94,244.5,84,20.78,189.9,99,8.55,11.2,1,3.02,2,610.5,271,59.269999999999996,yes
NV,53,area_code_415,no,no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,543.4000000000001,297,54.37,no
HI,174,area_code_415,no,no,0,187.4,74,31.86,144.6,142,12.29,235.7,102,10.61,10.2,1,2.75,1,567.7,318,54.76,no
IN,113,area_code_415,no,no,0,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,802.7,380,76.19,yes
IL,83,area_code_415,no,no,0,195.0,92,33.15,210.5,83,17.89,180.6,92,8.13,11.0,13,2.97,0,586.1,267,59.17,no
FL,112,area_code_415,no,no,0,115.9,81,19.7,199.7,100,16.97,249.3,111,11.22,10.0,4,2.7,1,564.9000000000001,292,47.89,no
PA,90,area_code_408,no,no,0,160.9,97,27.35,136.4,46,11.59,209.0,121,9.4,9.1,4,2.46,2,506.3,264,48.339999999999996,no
TN,98,area_code_415,no,no,0,162.8,65,27.68,185.0,109,15.73,219.5,104,9.88,6.0,3,1.62,2,567.3,278,53.29,no
NE,148,area_code_415,no,no,0,178.3,98,30.31,282.6,110,24.02,181.0,98,8.15,11.4,4,3.08,1,641.9000000000001,306,62.48,no
OR,112,area_code_510,no,no,0,206.2,122,35.05,164.5,94,13.98,140.3,101,6.31,12.6,7,3.4,3,511.0,317,55.34,no
AR,97,area_code_415,no,yes,35,203.1,104,34.53,211.8,91,18.0,246.1,105,11.07,9.7,6,2.62,0,661.0,300,63.6,no
VA,118,area_code_415,no,no,0,154.6,112,26.28,184.2,105,15.66,217.4,102,9.78,12.6,5,3.4,2,556.1999999999999,319,51.72,no
NM,56,area_code_408,no,no,0,146.1,57,24.84,196.2,97,16.68,310.1,110,13.95,9.2,3,2.48,0,652.4,264,55.47,no
OH,146,area_code_408,no,yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,613.5,276,62.580000000000005,no
NC,125,area_code_408,no,no,0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2,614.5,289,62.81,no
SC,49,area_code_415,yes,no,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,614.5,297,65.74,yes
MA,83,area_code_408,no,no,0,286.6,114,48.72,101.0,138,8.59,199.6,146,8.98,13.2,4,3.56,1,587.2,398,66.29,no
NV,3,area_code_510,no,yes,27,67.4,116,11.46,244.0,78,20.74,281.1,93,12.65,11.4,2,3.08,2,592.5,287,44.85,no
MS,45,area_code_415,no,yes,18,168.0,127,28.56,155.5,76,13.22,152.7,127,6.87,11.8,5,3.19,0,476.2,330,48.65,no
DC,81,area_code_510,yes,no,0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,697.0999999999999,338,68.26,no
TX,38,area_code_415,no,yes,38,175.6,127,29.85,260.5,118,22.14,199.5,109,8.98,12.3,2,3.32,2,635.6,354,60.97,no
FL,185,area_code_510,no,yes,24,121.6,100,20.67,108.3,77,9.21,206.3,98,9.28,12.3,2,3.32,5,436.2,275,39.160000000000004,yes
NJ,127,area_code_510,no,no,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,618.6,338,62.980000000000004,no
IN,65,area_code_415,no,no,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,698.0,328,67.46000000000001,no
WA,13,area_code_510,no,yes,25,176.6,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2,453.79999999999995,289,49.400000000000006,no
VA,146,area_code_415,yes,no,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,640.2,303,55.24,no
NM,84,area_code_408,no,yes,41,153.9,102,26.16,140.7,117,11.96,217.7,101,9.8,12.8,5,3.46,1,512.3,320,47.92,no
DC,157,area_code_510,no,yes,29,219.2,102,37.26,206.0,109,17.51,192.4,117,8.66,15.0,5,4.05,1,617.6,328,63.42999999999999,no
OH,69,area_code_510,no,no,0,221.6,88,37.67,231.8,87,19.7,211.7,116,9.53,8.6,9,2.32,1,665.0999999999999,291,66.9,no
KS,128,area_code_415,no,no,0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,510.29999999999995,340,45.709999999999994,no
KY,113,area_code_408,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,590.8,239,52.78,yes
MT,73,area_code_415,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,547.5,254,53.17999999999999,no
VT,99,area_code_408,no,yes,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,493.0,301,42.07000000000001,no
WA,60,area_code_415,yes,no,0,205.9,97,35.0,277.4,117,23.58,202.0,139,9.09,11.0,2,2.97,0,685.3,353,67.67,yes
FL,22,area_code_415,no,no,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2,587.0,352,57.09,no
SD,87,area_code_510,no,no,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,539.9,280,54.24,no
SC,125,area_code_408,no,no,0,143.6,119,24.41,238.5,119,20.27,173.6,89,7.81,10.9,4,2.94,2,555.7,327,52.49,no
WY,87,area_code_415,no,yes,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,575.3000000000001,289,63.0,no
MS,132,area_code_415,yes,no,0,144.3,70,24.53,231.5,125,19.68,304.3,137,13.69,7.0,2,1.89,1,680.1,332,57.9,yes
GA,80,area_code_408,no,no,0,142.9,70,24.29,221.6,83,18.84,121.4,111,5.46,15.2,4,4.1,1,485.9,264,48.589999999999996,no
WV,125,area_code_415,no,no,0,206.0,128,35.02,198.1,71,16.84,135.9,116,6.12,13.2,3,3.56,0,540.0,315,57.98,no
OH,69,area_code_415,no,no,0,209.6,94,35.63,193.1,106,16.41,239.9,90,10.8,12.4,4,3.35,0,642.6,290,62.84,no
MO,104,area_code_510,no,no,0,189.3,73,32.18,156.2,120,13.28,232.2,76,10.45,7.5,8,2.03,3,577.7,269,55.91,no
VT,152,area_code_510,no,yes,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1,481.9,335,52.37,no
NJ,111,area_code_510,no,no,0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,493.4,268,48.43,yes
NY,106,area_code_408,no,no,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,421.5,316,41.38,no
OR,175,area_code_415,no,no,0,185.0,104,31.45,325.8,86,27.69,85.4,105,3.84,14.6,2,3.94,1,596.2,295,62.980000000000004,no
DE,137,area_code_415,no,no,0,115.5,101,19.64,226.2,81,19.23,179.1,123,8.06,13.6,4,3.67,0,520.8,305,46.93000000000001,no
AZ,94,area_code_415,no,no,0,220.8,111,37.54,156.2,67,13.28,187.9,89,8.46,10.5,4,2.84,2,564.9,267,59.28,no
NM,55,area_code_510,no,no,0,119.7,148,20.35,231.8,96,19.7,222.3,113,10.0,4.6,2,1.24,2,573.8,357,50.05,no
MI,81,area_code_415,yes,no,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,535.8,263,49.66,yes
NM,182,area_code_415,no,no,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,556.0999999999999,319,42.879999999999995,no
ID,119,area_code_415,no,no,0,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,7.6,6,2.05,3,653.9,329,67.22999999999999,no
MT,109,area_code_408,no,no,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,767.1,275,79.81,yes
FL,64,area_code_408,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,1,2.43,3,644.2,321,67.5,no
AK,59,area_code_510,no,no,0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,617.1,299,58.78,no
OR,135,area_code_415,no,no,0,263.8,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5,715.2,294,75.21000000000001,yes
OH,20,area_code_415,no,yes,27,231.6,105,39.37,223.3,120,18.98,212.0,99,9.54,8.9,4,2.4,1,666.9,324,67.88999999999999,no
NE,105,area_code_510,no,no,0,213.3,99,36.26,153.1,79,13.01,227.9,98,10.26,10.8,5,2.92,1,594.3,276,59.529999999999994,no
VA,103,area_code_415,no,no,0,228.4,103,38.83,97.3,129,8.27,199.9,67,9.0,9.4,7,2.54,3,525.6,299,56.099999999999994,no
OR,99,area_code_408,no,no,0,221.0,118,37.57,138.8,104,11.8,198.6,96,8.94,12.1,4,3.27,0,558.4,318,58.31,no
NM,112,area_code_415,no,no,0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1,490.50000000000006,281,43.0,no
WV,177,area_code_408,no,no,0,227.8,81,38.73,161.8,97,13.75,217.0,106,9.76,8.0,5,2.16,1,606.6,284,62.239999999999995,no
MD,107,area_code_415,no,no,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,554.4,311,60.26,no
NJ,163,area_code_415,no,no,0,82.0,95,13.94,125.2,103,10.64,171.3,107,7.71,8.0,4,2.16,1,378.5,305,32.29,no
WY,215,area_code_510,no,no,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,431.1,349,34.69,no
RI,137,area_code_415,no,no,0,209.1,104,35.55,189.4,96,16.1,214.4,83,9.65,14.8,4,4.0,3,612.9,283,61.3,no
KY,38,area_code_415,no,no,0,220.5,110,37.49,180.8,114,15.37,156.5,102,7.04,5.6,7,1.51,1,557.8,326,59.9,no
LA,123,area_code_415,no,yes,33,146.6,87,24.92,114.8,59,9.76,220.4,99,9.92,2.9,7,0.78,0,481.79999999999995,245,44.6,no
CT,92,area_code_408,no,no,0,250.6,100,42.6,41.7,94,3.54,186.2,100,8.38,9.7,6,2.62,2,478.5,294,54.52,no
AL,61,area_code_415,no,yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,667.5,320,68.3,no
HI,24,area_code_415,no,no,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,536.9,397,58.239999999999995,no
SC,125,area_code_510,no,no,0,184.1,105,31.3,126.7,123,10.77,241.5,94,10.87,4.7,6,1.27,1,552.3,322,52.94,no
NE,42,area_code_510,no,no,0,143.7,96,24.43,221.0,98,18.79,108.9,94,4.9,8.6,1,2.32,2,473.6,288,48.12,no
SC,19,area_code_510,no,no,0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,704.3999999999999,355,74.91000000000001,yes
MI,61,area_code_415,no,yes,33,270.7,53,46.02,200.7,116,17.06,201.7,102,9.08,10.9,3,2.94,3,673.0999999999999,271,72.16,no
IL,71,area_code_415,no,no,0,207.0,112,35.19,173.8,96,14.77,178.4,61,8.03,12.1,3,3.27,1,559.2,269,57.989999999999995,no
WA,161,area_code_415,no,no,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4.0,5,1.08,1,595.7,272,54.53,no
KY,74,area_code_415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,479.6,245,45.78,no
OR,159,area_code_510,no,no,0,114.8,98,19.52,192.6,101,16.37,259.0,108,11.66,12.2,5,3.29,0,566.4,307,47.55,no
VA,86,area_code_415,no,no,0,231.9,73,39.42,165.9,123,14.1,225.7,86,10.16,11.5,3,3.11,3,623.5,282,63.68000000000001,no
NH,117,area_code_510,yes,no,0,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,1,529.2,268,42.71000000000001,yes
NH,183,area_code_408,no,yes,38,178.4,103,30.33,184.4,79,15.67,203.3,94,9.15,7.2,3,1.94,3,566.1,276,55.15,no
NE,91,area_code_510,no,yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,673.6,316,59.95,no
VT,57,area_code_415,no,no,0,166.4,114,28.29,76.8,119,6.53,260.1,77,11.7,10.9,3,2.94,3,503.3,310,46.519999999999996,no
UT,100,area_code_408,no,no,0,185.0,122,31.45,182.5,92,15.51,274.9,92,12.37,5.1,8,1.38,1,642.4,306,59.33,no
UT,95,area_code_415,no,no,0,155.5,99,26.44,167.0,75,14.2,190.7,125,8.58,13.2,4,3.56,1,513.2,299,49.22,no
MO,106,area_code_415,no,no,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,425.4,283,36.58,no
NV,116,area_code_510,no,yes,35,118.0,103,20.06,167.2,106,14.21,205.7,102,9.26,11.8,2,3.19,2,490.9,311,43.529999999999994,no
MO,15,area_code_415,no,no,0,135.2,101,22.98,152.5,79,12.96,224.8,83,10.12,8.4,5,2.27,2,512.5,263,46.059999999999995,no
NJ,118,area_code_408,no,no,0,178.4,81,30.33,182.7,119,15.53,251.4,109,11.31,10.8,2,2.92,1,612.5,309,57.17,no
NC,116,area_code_408,no,yes,19,155.7,104,26.47,185.4,118,15.76,192.7,116,8.67,8.2,2,2.21,3,533.8,338,50.9,no
MN,186,area_code_415,no,yes,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,547.9000000000001,313,41.03,no
MO,60,area_code_408,no,no,0,162.8,117,27.68,163.2,121,13.87,242.4,140,10.91,14.2,2,3.83,1,568.4,378,52.459999999999994,no
NJ,113,area_code_415,no,no,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,571.5,243,58.459999999999994,no
WV,50,area_code_510,no,no,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11.0,5,2.97,1,544.3,337,49.61,no
CO,36,area_code_415,yes,no,0,245.0,119,41.65,195.5,91,16.62,165.7,87,7.46,7.8,7,2.11,1,606.2,297,65.72999999999999,no
OK,155,area_code_408,no,yes,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,542.6,309,42.32,no
NE,155,area_code_408,no,yes,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0,498.0,286,55.449999999999996,no
WV,86,area_code_415,no,yes,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,395.09999999999997,380,38.51,no
OR,87,area_code_510,no,yes,22,240.8,102,40.94,75.9,106,6.45,224.6,115,10.11,7.1,3,1.92,2,541.3000000000001,323,57.5,no
AZ,67,area_code_415,no,no,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,609.5999999999999,285,62.540000000000006,no
VT,125,area_code_415,no,no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,488.4,356,44.04,no
DE,57,area_code_510,no,no,0,165.1,91,28.07,240.8,56,20.47,277.0,100,12.47,9.5,3,2.57,2,682.9,247,61.01,no
RI,121,area_code_510,no,yes,20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0,665.5,337,65.03,no
VA,141,area_code_415,no,no,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,3,574.4,370,65.53999999999999,no
GA,57,area_code_408,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,698.5,340,68.55999999999999,no
MN,125,area_code_415,yes,yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,696.2,310,70.48,yes
NM,105,area_code_415,no,no,0,193.7,108,32.93,183.2,124,15.57,293.7,72,13.22,10.8,5,2.92,1,670.5999999999999,304,61.72,no
IL,118,area_code_415,no,no,0,103.6,107,17.61,82.0,149,6.97,169.5,103,7.63,6.6,6,1.78,0,355.1,359,32.21,no
NM,55,area_code_415,no,no,0,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0,591.6,291,54.31,no
LA,96,area_code_408,no,no,0,102.1,74,17.36,93.7,88,7.96,236.2,125,10.63,14.0,2,3.78,1,432.0,287,35.95,no
