,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
2882,TN,163,area_code_510,no,no,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,563.3,299,64.67,no
2986,OK,127,area_code_408,no,no,0,212.9,92,36.19,260.1,124,22.11,177.6,85,7.99,8.6,2,2.32,2,650.6,301,66.28999999999999,no
567,NE,189,area_code_415,no,yes,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,530.2,305,61.97,no
622,MI,120,area_code_415,no,no,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,502.5,336,46.2,no
1066,IA,42,area_code_415,no,no,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0,477.2,300,47.470000000000006,no
4018,AZ,127,area_code_415,no,yes,29,136.1,146,23.14,302.6,105,25.72,163.1,116,7.34,18.5,2,5.0,2,601.8000000000001,367,56.2,no
1974,GA,109,area_code_510,no,yes,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5,766.0,315,73.92,no
3256,ND,86,area_code_415,no,yes,25,126.4,97,21.49,189.7,118,16.12,233.6,97,10.51,12.0,2,3.24,1,549.7,312,48.12,no
4026,IN,84,area_code_408,no,no,0,163.7,123,27.83,175.0,93,14.88,194.0,115,8.73,8.0,5,2.16,1,532.7,331,51.44,no
2735,ME,100,area_code_510,no,no,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,721.2,339,73.28,yes
3257,KS,18,area_code_510,no,no,0,180.2,115,30.63,83.4,114,7.09,245.3,111,11.04,11.9,6,3.21,1,508.90000000000003,340,48.76,no
37,MI,65,area_code_415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,508.59999999999997,360,55.800000000000004,no
2423,NM,81,area_code_415,no,no,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,649.5999999999999,258,60.33,no
3538,CO,82,area_code_408,no,no,0,121.6,81,20.67,191.3,109,16.26,231.4,81,10.41,8.6,5,2.32,3,544.3,271,47.34,no
495,OH,75,area_code_510,no,yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,661.8,299,64.59,no
1309,FL,106,area_code_408,no,no,0,178.4,143,30.33,247.0,123,21.0,259.9,105,11.7,9.6,2,2.59,0,685.3,371,63.03,no
1659,RI,116,area_code_510,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,387.7,284,39.42,no
1754,OR,53,area_code_408,no,no,0,261.2,119,44.4,250.8,105,21.32,176.0,112,7.92,9.8,2,2.65,0,688.0,336,73.64,yes
3366,AZ,165,area_code_408,no,yes,23,184.7,63,31.4,168.0,62,14.28,176.1,125,7.92,8.7,5,2.35,1,528.8,250,53.6,no
4037,WV,142,area_code_415,no,no,0,243.4,76,41.38,161.4,102,13.72,120.5,105,5.42,10.0,5,2.7,4,525.3,283,60.52,no
794,AL,87,area_code_408,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,633.0999999999999,292,67.04,no
1320,WV,94,area_code_415,no,no,0,85.9,113,14.6,226.7,91,19.27,279.6,110,12.58,15.6,16,4.21,0,592.2,314,46.449999999999996,no
2002,FL,105,area_code_415,no,no,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,832.6,329,83.28,yes
969,FL,116,area_code_408,no,no,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,535.6,338,49.47,no
1512,GA,160,area_code_415,no,yes,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,551.1999999999999,360,55.89,no
3174,DE,102,area_code_408,no,no,0,245.4,82,41.72,260.3,124,22.13,195.1,82,8.78,10.5,3,2.84,3,700.8000000000001,288,72.63,yes
713,MA,136,area_code_408,yes,no,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,483.4,269,55.16,yes
3496,ME,120,area_code_510,no,no,0,163.6,109,27.81,237.3,95,20.17,186.2,141,8.38,12.3,5,3.32,0,587.0999999999999,345,56.36000000000001,no
2262,NE,155,area_code_408,no,yes,21,195.9,91,33.3,213.9,84,18.18,88.2,111,3.97,8.6,4,2.32,0,498.0,286,55.449999999999996,no
1995,IL,68,area_code_415,yes,yes,29,195.5,113,33.24,171.6,96,14.59,204.0,85,9.18,13.5,9,3.65,1,571.1,294,57.01,yes
309,NY,32,area_code_415,no,no,0,164.8,98,28.02,229.9,96,19.54,167.3,108,7.53,14.8,2,4.0,2,562.0,302,55.09,no
489,PA,82,area_code_408,no,no,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,516.4,336,47.26,no
827,NY,64,area_code_415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,871.6999999999999,236,92.56,yes
2901,DE,120,area_code_415,no,no,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,717.9,262,72.39,yes
3350,IA,102,area_code_510,no,no,0,171.5,77,29.16,261.0,107,22.19,328.8,72,14.8,10.2,1,2.75,0,761.3,256,66.15,no
892,NY,68,area_code_415,no,yes,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,611.1,257,65.59,no
229,SD,144,area_code_408,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,527.4000000000001,269,52.400000000000006,yes
124,NE,117,area_code_415,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,608.5,315,48.51,no
3834,IL,71,area_code_415,no,no,0,112.1,122,19.06,157.9,86,13.42,271.6,104,12.22,11.1,5,3.0,0,541.6,312,44.699999999999996,no
1003,MO,98,area_code_415,no,no,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,726.5999999999999,273,68.89,no
3624,SD,74,area_code_510,no,no,0,143.7,97,24.43,229.6,110,19.52,98.8,100,4.45,11.8,5,3.19,1,472.09999999999997,307,48.400000000000006,no
1887,FL,120,area_code_415,no,no,0,184.5,103,31.37,209.0,86,17.77,169.7,70,7.64,10.2,6,2.75,2,563.2,259,56.78,no
414,MI,93,area_code_415,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,646.0,291,64.48,yes
2003,KY,71,area_code_415,no,no,0,104.0,92,17.68,197.0,125,16.75,110.1,123,4.95,14.6,8,3.94,0,411.1,340,39.38,no
2415,WY,109,area_code_415,no,no,0,137.0,128,23.29,217.0,116,18.45,182.1,86,8.19,10.0,5,2.7,2,536.1,330,49.92999999999999,no
3756,MA,102,area_code_510,no,no,0,143.7,82,24.43,170.9,83,14.53,310.9,112,13.99,9.8,1,2.65,2,625.5,277,52.95,no
74,NJ,128,area_code_415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,694.4,286,70.89,yes
2071,NM,63,area_code_510,no,no,0,207.6,96,35.29,229.0,112,19.47,162.6,131,7.32,13.3,2,3.59,1,599.2,339,62.08,no
4146,MI,133,area_code_415,no,no,0,165.9,98,28.2,161.9,110,13.76,208.9,120,9.4,11.2,11,3.02,2,536.7,328,51.36,no
3203,NY,77,area_code_510,no,no,0,124.1,92,21.1,214.9,131,18.27,241.3,132,10.86,13.7,3,3.7,0,580.3,355,50.230000000000004,no
2918,TN,110,area_code_510,no,no,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,740.3,283,72.10999999999999,yes
1765,MO,109,area_code_415,no,no,0,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,737.0,260,70.22,no
3439,MD,104,area_code_415,no,no,0,153.7,86,26.13,160.3,78,13.63,176.6,140,7.95,9.6,8,2.59,1,490.6,304,47.71,no
4091,NE,67,area_code_415,no,no,0,124.0,77,21.08,222.2,95,18.89,151.2,111,6.8,13.1,2,3.54,0,497.4,283,46.769999999999996,no
3032,WV,78,area_code_408,no,no,0,226.3,88,38.47,306.2,81,26.03,200.9,120,9.04,7.8,11,2.11,1,733.4,289,73.53999999999999,yes
3519,NV,77,area_code_415,no,no,0,215.5,81,36.64,170.9,100,14.53,170.3,59,7.66,10.3,3,2.78,1,556.7,240,58.83,no
1637,HI,105,area_code_415,no,no,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,785.5999999999999,329,82.58,yes
1171,WI,54,area_code_415,no,no,0,116.8,119,19.86,123.1,123,10.46,217.5,101,9.79,12.0,2,3.24,1,457.4,343,40.11,no
526,CO,120,area_code_510,no,yes,27,153.5,84,26.1,194.0,73,16.49,256.5,94,11.54,10.2,7,2.75,5,604.0,251,54.13,no
802,GA,58,area_code_408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,474.90000000000003,305,46.67,no
669,MN,96,area_code_415,no,yes,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,661.6,294,71.27000000000001,no
1787,NY,40,area_code_408,no,no,0,242.5,82,41.23,232.9,97,19.8,154.0,86,6.93,9.6,7,2.59,0,629.4,265,67.96000000000001,no
829,KS,110,area_code_415,yes,yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,709.3000000000001,283,75.93,yes
788,OR,132,area_code_510,no,no,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,670.8,322,62.449999999999996,no
3187,NY,112,area_code_510,no,no,0,172.1,73,29.26,228.0,136,19.38,269.4,96,12.12,14.1,3,3.81,2,669.5,305,60.76,no
3124,OR,3,area_code_510,no,no,0,125.5,100,21.34,266.2,78,22.63,270.4,119,12.17,5.9,6,1.59,3,662.0999999999999,297,56.14,yes
1750,NJ,113,area_code_415,no,no,0,186.0,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,571.5,243,58.459999999999994,no
4170,RI,114,area_code_415,no,yes,23,186.2,95,31.65,258.3,129,21.96,183.9,93,8.28,7.8,6,2.11,0,628.4,317,61.89,no
2287,MA,145,area_code_415,no,no,0,175.8,89,29.89,274.3,119,23.32,226.6,69,10.2,12.4,4,3.35,1,676.7,277,63.41,no
2977,LA,140,area_code_415,no,yes,27,176.0,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,545.2,377,54.59,no
1871,NY,116,area_code_510,no,no,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2,463.4,359,39.28,no
1153,WY,64,area_code_415,no,no,0,206.2,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1,690.2,248,66.12,no
386,NV,71,area_code_415,yes,no,0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,528.1,318,52.739999999999995,yes
1900,WV,127,area_code_510,no,no,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10.0,1,2.7,2,569.4,298,61.080000000000005,no
2659,NJ,107,area_code_408,no,yes,36,96.3,83,16.37,179.6,91,15.27,166.3,121,7.48,10.3,2,2.78,1,442.2,295,39.120000000000005,no
1667,WI,140,area_code_415,no,no,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,547.9,302,50.7,no
814,LA,87,area_code_415,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,545.8,279,59.67,no
1726,NE,86,area_code_408,no,no,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,482.6,325,41.81,no
651,ND,167,area_code_408,yes,no,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,630.9,291,65.5,no
1276,MO,22,area_code_408,no,yes,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,486.59999999999997,294,55.660000000000004,no
3593,OR,135,area_code_408,yes,no,0,174.8,112,29.72,218.0,125,18.53,180.1,102,8.1,12.7,6,3.43,3,572.9,339,56.35,no
305,KS,132,area_code_415,no,no,0,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,462.3,361,40.52,no
3271,ND,57,area_code_415,yes,no,0,227.4,94,38.66,146.4,115,12.44,211.4,92,9.51,8.3,5,2.24,1,585.2,301,60.60999999999999,no
2164,MT,160,area_code_415,no,no,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3,620.9000000000001,244,50.86,no
3042,MO,104,area_code_510,no,no,0,189.3,73,32.18,156.2,120,13.28,232.2,76,10.45,7.5,8,2.03,3,577.7,269,55.91,no
1611,WA,174,area_code_408,no,yes,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,503.1,314,51.830000000000005,yes
2781,OR,142,area_code_510,no,yes,22,224.4,114,38.15,146.0,106,12.41,241.4,98,10.86,8.8,2,2.38,1,611.8,318,61.42,no
3144,VA,86,area_code_415,no,no,0,120.6,82,20.5,238.3,96,20.26,219.8,125,9.89,11.4,5,3.08,0,578.7,303,50.650000000000006,no
2181,IA,64,area_code_415,no,yes,43,118.4,100,20.13,144.1,108,12.25,158.1,91,7.11,8.5,6,2.3,1,420.6,299,39.489999999999995,no
3705,WI,119,area_code_415,no,no,0,226.6,126,38.52,143.6,107,12.21,94.9,123,4.27,12.1,5,3.27,1,465.1,356,55.0,no
2528,NY,131,area_code_408,yes,no,0,122.3,83,20.79,118.8,94,10.1,147.9,95,6.66,13.7,3,3.7,3,389.0,272,37.55,yes
4050,OH,86,area_code_408,no,yes,26,141.3,120,24.02,134.6,98,11.44,195.9,94,8.82,13.3,5,3.59,1,471.79999999999995,312,44.28,no
3763,CT,59,area_code_415,no,yes,46,200.1,44,34.02,126.0,78,10.71,146.3,123,6.58,10.6,5,2.86,1,472.40000000000003,245,51.31,no
428,OK,52,area_code_408,no,no,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,496.69999999999993,320,55.53,no
4238,NC,118,area_code_510,no,yes,31,226.6,99,38.52,164.9,136,14.02,189.3,120,8.52,10.2,5,2.75,3,580.8,355,61.06,no
811,SC,93,area_code_415,no,no,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,582.4,224,60.47,no
230,AL,131,area_code_415,no,yes,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,672.8,249,63.39999999999999,no
2507,SD,105,area_code_415,no,no,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,611.1,303,65.95,no
1846,IL,156,area_code_415,no,no,0,174.5,65,29.67,197.4,116,16.78,238.5,86,10.73,10.6,2,2.86,0,610.4,267,57.18000000000001,no
2857,MS,72,area_code_510,no,no,0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12.0,3,3.24,2,580.9000000000001,334,55.669999999999995,no
2360,WA,47,area_code_415,no,yes,27,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,576.7,302,51.67,no
231,VT,146,area_code_510,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,646.2,339,63.39,no
3461,SC,90,area_code_408,no,yes,31,118.5,92,20.15,257.9,76,21.92,186.2,96,8.38,9.0,6,2.43,1,562.5999999999999,264,50.45,no
2870,MN,79,area_code_510,no,no,0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2.0,1,527.2,302,50.199999999999996,no
1834,VA,75,area_code_415,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,11.3,11,3.05,3,628.9,293,64.07000000000001,no
3582,UT,66,area_code_415,no,no,0,192.4,98,32.71,187.0,93,15.9,132.9,82,5.98,11.2,1,3.02,0,512.3,273,54.59,no
267,VA,104,area_code_408,no,no,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,630.5,294,55.99,no
3729,NE,105,area_code_510,no,no,0,213.3,99,36.26,153.1,79,13.01,227.9,98,10.26,10.8,5,2.92,1,594.3,276,59.529999999999994,no
2267,IL,67,area_code_415,no,no,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,514.9,382,45.510000000000005,no
878,RI,158,area_code_510,no,no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,696.4000000000001,312,68.64,no
1207,WA,78,area_code_408,no,no,0,140.7,77,23.92,195.2,114,16.59,252.9,107,11.38,11.7,5,3.16,0,588.8,298,51.89000000000001,no
2264,WY,116,area_code_510,no,yes,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2,551.0,306,58.47,no
1931,AR,86,area_code_408,no,yes,16,145.7,88,24.77,191.0,129,16.24,215.5,82,9.7,11.3,7,3.05,0,552.2,299,50.709999999999994,no
2408,AZ,100,area_code_510,no,no,0,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14.0,8,3.78,0,454.70000000000005,306,39.33,no
2279,MN,125,area_code_415,yes,yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,696.2,310,70.48,yes
1214,NJ,127,area_code_510,no,no,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,618.6,338,62.980000000000004,no
3325,OH,123,area_code_510,no,no,0,222.4,90,37.81,286.3,104,24.34,300.8,95,13.54,9.9,3,2.67,2,809.5,289,75.69,yes
114,AK,127,area_code_510,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,573.3,264,53.77,no
2463,NV,148,area_code_415,no,no,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,761.7,290,77.26,yes
2589,NV,116,area_code_510,no,yes,35,118.0,103,20.06,167.2,106,14.21,205.7,102,9.26,11.8,2,3.19,2,490.9,311,43.529999999999994,no
3212,MO,131,area_code_415,no,no,0,201.1,141,34.19,216.5,93,18.4,217.4,132,9.78,11.5,4,3.11,1,635.0,366,62.37,no
3689,OH,26,area_code_510,no,no,0,150.0,63,25.5,225.0,90,19.13,202.3,99,9.1,9.2,5,2.48,3,577.3,252,53.73,no
1092,OR,66,area_code_408,no,no,0,87.6,76,14.89,262.0,111,22.27,184.6,125,8.31,9.2,5,2.48,1,534.2,312,45.47,no
478,CT,72,area_code_408,no,yes,21,186.7,108,31.74,335.0,86,28.48,187.2,119,8.42,16.5,4,4.46,1,708.9000000000001,313,68.64,no
1492,WI,142,area_code_408,no,yes,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,782.4000000000001,274,76.62,no
828,FL,159,area_code_415,no,yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,454.40000000000003,385,40.49,no
2620,AL,181,area_code_415,no,yes,27,190.3,93,32.35,249.0,127,21.17,215.7,82,9.71,10.6,4,2.86,1,655.0,302,63.230000000000004,no
766,HI,72,area_code_415,no,no,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,520.6,277,41.690000000000005,no
1218,VT,122,area_code_415,no,no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,568.6999999999999,362,52.4,no
3339,AK,91,area_code_510,no,no,0,197.3,120,33.54,202.4,89,17.2,290.5,128,13.07,15.3,7,4.13,1,690.2,337,63.809999999999995,no
1055,NH,90,area_code_415,no,no,0,76.1,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0,603.3,283,48.28,no
2281,RI,36,area_code_415,no,no,0,235.1,97,39.97,196.8,104,16.73,259.7,110,11.69,7.0,7,1.89,3,691.5999999999999,311,68.39,no
2120,KY,21,area_code_415,no,no,0,92.6,95,15.74,161.9,70,13.76,285.0,78,12.83,11.3,3,3.05,5,539.5,243,42.33,yes
100,TX,41,area_code_408,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,497.8,311,54.800000000000004,no
412,ME,75,area_code_408,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,492.79999999999995,243,52.82000000000001,yes
1948,UT,37,area_code_510,no,no,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3,626.3,305,68.35,no
977,KS,130,area_code_510,no,no,0,154.0,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,593.5999999999999,276,54.2,no
1805,KS,43,area_code_415,no,no,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3,467.4,310,30.85,no
3473,FL,87,area_code_415,no,no,0,176.6,83,30.02,221.6,101,18.84,185.3,89,8.34,9.4,1,2.54,0,583.5,273,57.2,no
3786,KS,121,area_code_408,yes,no,0,175.9,87,29.9,225.3,114,19.15,156.2,113,7.03,10.4,3,2.81,2,557.4000000000001,314,56.08,no
222,MA,118,area_code_408,yes,no,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,520.2,318,50.43,no
2758,NM,55,area_code_415,no,no,0,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0,591.6,291,54.31,no
1411,NV,76,area_code_510,yes,no,0,241.0,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,693.0,283,70.58,yes
3879,VT,76,area_code_408,no,no,0,208.5,124,35.45,173.0,117,14.71,221.1,95,9.95,9.8,3,2.65,0,602.6,336,60.11,no
1161,SD,86,area_code_415,no,no,0,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,7.3,9,1.97,1,529.8,327,58.050000000000004,no
1012,WA,13,area_code_510,no,yes,25,176.6,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2,453.79999999999995,289,49.400000000000006,no
3435,MN,120,area_code_415,no,yes,31,211.0,117,35.87,238.7,77,20.29,184.5,99,8.3,14.0,8,3.78,1,634.2,293,64.46,no
3894,RI,106,area_code_415,no,no,0,155.9,90,26.5,198.0,101,16.83,189.1,95,8.51,8.0,2,2.16,2,543.0,286,51.839999999999996,no
1210,RI,176,area_code_415,no,no,0,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,570.9,293,63.91,no
562,IN,84,area_code_408,no,no,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,571.4,287,62.29,no
3722,RI,137,area_code_415,no,no,0,209.1,104,35.55,189.4,96,16.1,214.4,83,9.65,14.8,4,4.0,3,612.9,283,61.3,no
